item_id,restaurant_id,name,description,price,category,subcategory,cuisine_tag,veg_flag,is_combo,combo_components,bestseller_flag,availability,margin_pct,prep_time_mins,popularity_score,popularity_by_meal
I00023,R0002,Brownie with Ice Cream,Brownie with vanilla ice cream,88,dessert,brownie,Desserts & Bakery,True,False,[],False,True,34.6,29,0.5,"{""breakfast"": 0.21, ""lunch"": 0.55, ""dinner"": 0.72, ""late_night"": 0.18}"
I00024,R0002,Butterscotch Pastry,Butterscotch cream pastry,45,dessert,pastry,Desserts & Bakery,True,False,[],True,True,15.6,29,0.97,"{""breakfast"": 0.18, ""lunch"": 0.47, ""dinner"": 0.35, ""late_night"": 0.18}"
I00025,R0002,Chicken Puff,Flaky pastry with chicken filling,37,dessert,puff,Desserts & Bakery,False,False,[],False,True,49.9,16,0.66,"{""breakfast"": 0.28, ""lunch"": 0.42, ""dinner"": 0.42, ""late_night"": 0.12}"
I00026,R0002,Fresh Juice,Seasonal fresh fruit juice,66,beverage,juice,Desserts & Bakery,True,False,[],False,True,53.2,19,0.88,"{""breakfast"": 0.08, ""lunch"": 0.38, ""dinner"": 0.49, ""late_night"": 0.13}"
I00027,R0002,Cold Coffee,Blended iced coffee,71,beverage,coffee,Desserts & Bakery,True,False,[],False,True,33.0,11,0.56,"{""breakfast"": 0.02, ""lunch"": 0.4, ""dinner"": 0.99, ""late_night"": 0.58}"
I00028,R0002,Cappuccino,Classic Italian cappuccino,59,beverage,coffee,Desserts & Bakery,True,False,[],False,True,37.1,23,0.56,"{""breakfast"": 0.2, ""lunch"": 0.77, ""dinner"": 0.4, ""late_night"": 0.11}"
I00029,R0002,Dessert Box,4 Assorted mini desserts,197,combo,meal_combo,Desserts & Bakery,True,True,"[""cake"", ""mousse"", ""brownie"", ""pastry""]",False,True,36.0,20,0.76,"{""breakfast"": 0.06, ""lunch"": 0.46, ""dinner"": 0.97, ""late_night"": 0.23}"
I00030,R0003,Mutton Rogan Josh,Slow-cooked mutton Kashmiri style,446,main,curry,North Indian,False,False,[],False,True,33.5,19,0.88,"{""breakfast"": 0.31, ""lunch"": 0.38, ""dinner"": 0.86, ""late_night"": 0.56}"
I00031,R0003,Egg Curry,Boiled eggs in onion-tomato gravy,191,main,curry,North Indian,False,False,[],False,True,47.6,34,0.64,"{""breakfast"": 0.13, ""lunch"": 0.91, ""dinner"": 1.0, ""late_night"": 0.48}"
I00032,R0003,Dal Makhani,Slow-cooked black lentils,186,main,curry,North Indian,True,False,[],False,True,25.9,17,0.93,"{""breakfast"": 0.18, ""lunch"": 0.93, ""dinner"": 0.91, ""late_night"": 0.26}"
I00033,R0003,Palak Paneer,Paneer in spinach gravy,258,main,curry,North Indian,True,False,[],False,True,13.0,12,0.67,"{""breakfast"": 0.24, ""lunch"": 0.69, ""dinner"": 0.57, ""late_night"": 0.37}"
I00034,R0003,Kadai Paneer,Paneer with capsicum and onion,252,main,curry,North Indian,True,False,[],False,True,5.0,34,0.25,"{""breakfast"": 0.26, ""lunch"": 0.83, ""dinner"": 0.65, ""late_night"": 0.37}"
I00035,R0003,Kadai Chicken,Chicken with capsicum and spices,344,main,curry,North Indian,False,False,[],False,True,36.3,10,0.45,"{""breakfast"": 0.22, ""lunch"": 0.82, ""dinner"": 0.8, ""late_night"": 0.36}"
I00036,R0003,Chicken Tikka Masala,Grilled chicken in spiced masala,349,main,curry,North Indian,False,False,[],False,True,48.7,18,0.69,"{""breakfast"": 0.15, ""lunch"": 0.44, ""dinner"": 0.64, ""late_night"": 0.2}"
I00037,R0003,Paneer Butter Masala,Cottage cheese in rich tomato gravy,223,main,curry,North Indian,True,False,[],False,True,41.9,38,0.58,"{""breakfast"": 0.23, ""lunch"": 0.36, ""dinner"": 0.8, ""late_night"": 0.3}"
I00038,R0003,Chole Masala,Spiced chickpea curry,217,main,curry,North Indian,True,False,[],False,True,36.4,30,0.82,"{""breakfast"": 0.07, ""lunch"": 0.51, ""dinner"": 0.86, ""late_night"": 0.19}"
I00039,R0003,Butter Chicken,Tender chicken in creamy tomato gravy,340,main,curry,North Indian,False,False,[],False,True,22.7,18,0.57,"{""breakfast"": 0.04, ""lunch"": 0.3, ""dinner"": 0.75, ""late_night"": 0.36}"
I00040,R0003,Rajma Masala,Kidney beans in thick gravy,190,main,curry,North Indian,True,False,[],False,True,43.7,29,0.92,"{""breakfast"": 0.31, ""lunch"": 0.69, ""dinner"": 0.48, ""late_night"": 0.25}"
I00041,R0003,Stuffed Kulcha,Naan stuffed with paneer or onion,94,bread,naan,North Indian,True,False,[],True,True,50.4,24,0.48,"{""breakfast"": 0.06, ""lunch"": 0.46, ""dinner"": 0.91, ""late_night"": 0.34}"
I00042,R0003,Butter Naan,Soft leavened bread with butter,57,bread,naan,North Indian,True,False,[],False,True,26.8,12,0.67,"{""breakfast"": 0.1, ""lunch"": 0.74, ""dinner"": 0.34, ""late_night"": 0.17}"
I00043,R0003,Tandoori Roti,Whole wheat bread from tandoor,35,bread,roti,North Indian,True,False,[],False,True,60.1,27,0.75,"{""breakfast"": 0.01, ""lunch"": 0.54, ""dinner"": 0.87, ""late_night"": 0.4}"
I00044,R0003,Aloo Paratha,Stuffed potato flatbread,69,bread,paratha,North Indian,True,False,[],False,True,37.5,22,0.64,"{""breakfast"": 0.16, ""lunch"": 0.56, ""dinner"": 0.54, ""late_night"": 0.41}"
I00045,R0003,Laccha Paratha,Layered flaky flatbread,62,bread,paratha,North Indian,True,False,[],False,True,42.4,27,0.34,"{""breakfast"": 0.24, ""lunch"": 0.78, ""dinner"": 0.46, ""late_night"": 0.33}"
I00046,R0003,Missi Roti,Gram flour spiced flatbread,43,bread,roti,North Indian,True,False,[],False,True,32.8,15,0.5,"{""breakfast"": 0.13, ""lunch"": 0.71, ""dinner"": 0.36, ""late_night"": 0.58}"
I00047,R0003,Veg Pulao,Rice with mixed vegetables,201,rice,rice,North Indian,True,False,[],False,True,30.1,10,0.1,"{""breakfast"": 0.12, ""lunch"": 0.99, ""dinner"": 0.63, ""late_night"": 0.29}"
I00048,R0003,Steamed Rice,Plain steamed basmati rice,104,rice,rice,North Indian,True,False,[],False,True,48.0,26,0.18,"{""breakfast"": 0.1, ""lunch"": 0.85, ""dinner"": 0.91, ""late_night"": 0.4}"
I00049,R0003,Mixed Pickle,Spiced mango and lime pickle,27,side,accompaniment,North Indian,True,False,[],False,True,24.8,10,0.32,"{""breakfast"": 0.2, ""lunch"": 0.88, ""dinner"": 0.5, ""late_night"": 0.57}"
I00050,R0003,Boondi Raita,Yogurt with crispy boondi,75,side,accompaniment,North Indian,True,False,[],False,True,41.7,15,0.45,"{""breakfast"": 0.2, ""lunch"": 0.58, ""dinner"": 0.68, ""late_night"": 0.41}"
I00051,R0003,Roasted Papad,Crispy roasted lentil wafer,34,side,accompaniment,North Indian,True,False,[],False,True,61.6,22,0.84,"{""breakfast"": 0.13, ""lunch"": 0.32, ""dinner"": 0.41, ""late_night"": 0.21}"
I00052,R0003,Sweet Lassi,Chilled sweetened yogurt drink,81,beverage,lassi,North Indian,True,False,[],False,True,36.8,25,0.65,"{""breakfast"": 0.06, ""lunch"": 0.93, ""dinner"": 0.88, ""late_night"": 0.26}"
I00053,R0003,Thumbs Up 300ml,Chilled Thumbs Up,59,beverage,soft_drink,North Indian,True,False,[],False,True,42.7,27,0.56,"{""breakfast"": 0.09, ""lunch"": 0.36, ""dinner"": 0.84, ""late_night"": 0.16}"
I00054,R0003,Masala Chaas,Spiced buttermilk with cumin,50,beverage,buttermilk,North Indian,True,False,[],True,True,45.9,16,0.64,"{""breakfast"": 0.15, ""lunch"": 0.57, ""dinner"": 0.7, ""late_night"": 0.2}"
I00055,R0003,Coca Cola 300ml,Chilled cola,44,beverage,soft_drink,North Indian,True,False,[],False,True,59.6,19,0.49,"{""breakfast"": 0.07, ""lunch"": 0.35, ""dinner"": 0.85, ""late_night"": 0.23}"
I00056,R0003,Mango Lassi,Creamy mango yogurt shake,86,beverage,lassi,North Indian,True,False,[],False,True,49.1,32,0.31,"{""breakfast"": 0.09, ""lunch"": 0.42, ""dinner"": 0.76, ""late_night"": 0.52}"
I00057,R0003,Rasmalai (2 Pcs),Paneer discs in sweet milk,118,dessert,indian_sweet,North Indian,True,False,[],False,True,60.7,11,0.53,"{""breakfast"": 0.07, ""lunch"": 0.57, ""dinner"": 0.97, ""late_night"": 0.22}"
I00058,R0003,Kheer,Creamy rice pudding with nuts,74,dessert,indian_sweet,North Indian,True,False,[],False,True,55.5,16,0.27,"{""breakfast"": 0.25, ""lunch"": 0.53, ""dinner"": 0.88, ""late_night"": 0.41}"
I00059,R0003,Gulab Jamun (2 Pcs),Milk balls in sugar syrup,66,dessert,indian_sweet,North Indian,True,False,[],False,True,14.2,13,0.34,"{""breakfast"": 0.06, ""lunch"": 0.39, ""dinner"": 0.91, ""late_night"": 0.22}"
I00060,R0003,Paneer Tikka (6 Pcs),Grilled marinated paneer cubes,253,appetizer,tikka,North Indian,True,False,[],False,True,50.2,22,0.22,"{""breakfast"": 0.04, ""lunch"": 0.76, ""dinner"": 0.96, ""late_night"": 0.5}"
I00061,R0003,Chicken Tikka (6 Pcs),Grilled marinated chicken,216,appetizer,tikka,North Indian,False,False,[],False,True,39.9,18,0.84,"{""breakfast"": 0.2, ""lunch"": 0.57, ""dinner"": 0.62, ""late_night"": 0.21}"
I00062,R0003,Hara Bhara Kebab (4 Pcs),Spinach and pea patties,230,appetizer,kebab,North Indian,True,False,[],False,True,50.2,18,0.5,"{""breakfast"": 0.02, ""lunch"": 0.33, ""dinner"": 0.82, ""late_night"": 0.43}"
I00063,R0003,Seekh Kebab (4 Pcs),Minced mutton skewers,279,appetizer,kebab,North Indian,False,False,[],False,True,5.0,21,0.97,"{""breakfast"": 0.38, ""lunch"": 0.85, ""dinner"": 0.55, ""late_night"": 0.31}"
I00064,R0003,North Indian Thali Veg,"Dal, paneer curry, rice, 2 roti, salad, sweet",315,combo,thali,North Indian,True,True,"[""curry"", ""curry"", ""rice"", ""roti"", ""roti"", ""salad"", ""indian_sweet""]",True,True,23.3,27,0.97,"{""breakfast"": 0.12, ""lunch"": 0.84, ""dinner"": 0.74, ""late_night"": 0.29}"
I00065,R0004,Mughlai Chicken,Chicken in Mughlai spices,217,main,curry,Mughlai,False,False,[],False,True,54.9,24,0.14,"{""breakfast"": 0.39, ""lunch"": 0.86, ""dinner"": 0.5, ""late_night"": 0.59}"
I00066,R0004,Murgh Musallam,Whole spiced chicken in rich gravy,306,main,curry,Mughlai,False,False,[],False,True,57.9,24,0.22,"{""breakfast"": 0.14, ""lunch"": 0.95, ""dinner"": 0.46, ""late_night"": 0.29}"
I00067,R0004,Veg Korma,Vegetables in cashew gravy,190,main,curry,Mughlai,True,False,[],False,True,65.0,11,0.21,"{""breakfast"": 0.08, ""lunch"": 0.92, ""dinner"": 0.75, ""late_night"": 0.24}"
I00068,R0004,Chicken Korma,Mild creamy chicken with nuts,262,main,curry,Mughlai,False,False,[],False,True,32.5,22,0.86,"{""breakfast"": 0.29, ""lunch"": 0.84, ""dinner"": 0.76, ""late_night"": 0.19}"
I00069,R0004,Garlic Naan,Naan with garlic topping,58,bread,naan,Mughlai,True,False,[],False,True,33.6,19,0.29,"{""breakfast"": 0.2, ""lunch"": 0.89, ""dinner"": 0.81, ""late_night"": 0.37}"
I00070,R0004,Naan,Plain leavened oven bread,38,bread,naan,Mughlai,True,False,[],False,True,6.5,20,0.89,"{""breakfast"": 0.25, ""lunch"": 0.83, ""dinner"": 0.41, ""late_night"": 0.33}"
I00071,R0004,Sheermal,Sweet saffron bread,44,bread,naan,Mughlai,True,False,[],True,False,47.4,12,0.46,"{""breakfast"": 0.32, ""lunch"": 0.44, ""dinner"": 0.69, ""late_night"": 0.47}"
I00072,R0004,Zafrani Rice,Saffron-infused basmati rice,121,rice,rice,Mughlai,True,False,[],True,True,52.9,15,0.78,"{""breakfast"": 0.01, ""lunch"": 0.82, ""dinner"": 0.44, ""late_night"": 0.58}"
I00073,R0004,Jeera Rice,Cumin-tempered rice,103,rice,rice,Mughlai,True,False,[],False,True,21.7,16,1.0,"{""breakfast"": 0.15, ""lunch"": 0.61, ""dinner"": 0.81, ""late_night"": 0.54}"
I00074,R0004,Mint Raita,Yogurt with fresh mint,45,side,accompaniment,Mughlai,True,False,[],False,True,60.2,13,0.42,"{""breakfast"": 0.32, ""lunch"": 0.37, ""dinner"": 0.71, ""late_night"": 0.34}"
I00075,R0004,Sirka Pyaz,Vinegar-marinated onions,31,side,accompaniment,Mughlai,True,False,[],False,True,36.9,14,0.64,"{""breakfast"": 0.27, ""lunch"": 0.86, ""dinner"": 0.49, ""late_night"": 0.51}"
I00076,R0004,Galouti Kebab (4 Pcs),Melt-in-mouth mutton kebabs,192,appetizer,kebab,Mughlai,False,False,[],False,True,32.4,16,0.81,"{""breakfast"": 0.21, ""lunch"": 0.61, ""dinner"": 0.4, ""late_night"": 0.26}"
I00077,R0004,Tandoori Paneer Tikka,Grilled marinated paneer,167,appetizer,tikka,Mughlai,True,False,[],False,True,33.8,19,1.0,"{""breakfast"": 0.37, ""lunch"": 0.75, ""dinner"": 0.59, ""late_night"": 0.42}"
I00078,R0004,Mughlai Chicken Wings,Spiced chicken wings,196,appetizer,tandoori,Mughlai,False,False,[],False,True,31.6,12,0.61,"{""breakfast"": 0.24, ""lunch"": 0.43, ""dinner"": 0.55, ""late_night"": 0.27}"
I00079,R0004,Coca Cola 300ml,Chilled cola,30,beverage,soft_drink,Mughlai,True,False,[],False,True,27.1,26,0.95,"{""breakfast"": 0.1, ""lunch"": 0.6, ""dinner"": 0.91, ""late_night"": 0.52}"
I00080,R0004,Kulfi,Traditional Indian ice cream,69,dessert,indian_sweet,Mughlai,True,False,[],True,True,17.5,5,0.76,"{""breakfast"": 0.2, ""lunch"": 0.61, ""dinner"": 0.81, ""late_night"": 0.48}"
I00081,R0004,Mughlai Feast,"Nihari, kebab, biryani, naan, phirni",324,combo,thali,Mughlai,False,True,"[""curry"", ""kebab"", ""biryani"", ""naan"", ""indian_sweet""]",False,True,30.9,12,0.11,"{""breakfast"": 0.11, ""lunch"": 0.33, ""dinner"": 0.33, ""late_night"": 0.24}"
I00082,R0004,Royal Mughlai Thali,"Korma, seekh kebab, pulao, roomali, kulfi",367,combo,thali,Mughlai,False,True,"[""curry"", ""kebab"", ""rice"", ""roti"", ""indian_sweet""]",False,True,19.0,5,0.24,"{""breakfast"": 0.34, ""lunch"": 0.33, ""dinner"": 0.73, ""late_night"": 0.38}"
I00083,R0005,Chole Masala,Spiced chickpea curry,171,main,curry,North Indian,True,False,[],False,True,32.5,20,0.59,"{""breakfast"": 0.05, ""lunch"": 0.92, ""dinner"": 0.58, ""late_night"": 0.51}"
I00084,R0005,Palak Paneer,Paneer in spinach gravy,252,main,curry,North Indian,True,False,[],True,False,33.4,38,0.75,"{""breakfast"": 0.08, ""lunch"": 0.54, ""dinner"": 0.52, ""late_night"": 0.57}"
I00085,R0005,Kadai Chicken,Chicken with capsicum and spices,345,main,curry,North Indian,False,False,[],False,True,25.9,33,0.59,"{""breakfast"": 0.39, ""lunch"": 0.46, ""dinner"": 0.58, ""late_night"": 0.37}"
I00086,R0005,Malai Kofta,Paneer balls in creamy gravy,290,main,curry,North Indian,True,False,[],False,True,65.0,27,0.49,"{""breakfast"": 0.06, ""lunch"": 0.76, ""dinner"": 0.45, ""late_night"": 0.15}"
I00087,R0005,Rajma Masala,Kidney beans in thick gravy,209,main,curry,North Indian,True,False,[],False,True,59.5,17,0.2,"{""breakfast"": 0.14, ""lunch"": 0.98, ""dinner"": 0.86, ""late_night"": 0.35}"
I00088,R0005,Shahi Paneer,Paneer in creamy cashew gravy,249,main,curry,North Indian,True,False,[],False,True,36.9,28,0.12,"{""breakfast"": 0.05, ""lunch"": 0.76, ""dinner"": 0.41, ""late_night"": 0.23}"
I00089,R0005,Kadai Paneer,Paneer with capsicum and onion,284,main,curry,North Indian,True,False,[],False,True,58.7,23,0.18,"{""breakfast"": 0.14, ""lunch"": 0.5, ""dinner"": 0.57, ""late_night"": 0.5}"
I00090,R0005,Mutton Rogan Josh,Slow-cooked mutton Kashmiri style,373,main,curry,North Indian,False,False,[],False,True,5.0,11,0.28,"{""breakfast"": 0.07, ""lunch"": 0.37, ""dinner"": 0.55, ""late_night"": 0.48}"
I00091,R0005,Butter Chicken,Tender chicken in creamy tomato gravy,276,main,curry,North Indian,False,False,[],False,True,50.7,8,0.57,"{""breakfast"": 0.18, ""lunch"": 0.69, ""dinner"": 0.42, ""late_night"": 0.41}"
I00092,R0005,Paneer Butter Masala,Cottage cheese in rich tomato gravy,241,main,curry,North Indian,True,False,[],False,True,65.0,21,0.76,"{""breakfast"": 0.33, ""lunch"": 0.52, ""dinner"": 0.86, ""late_night"": 0.58}"
I00093,R0005,Butter Naan,Soft leavened bread with butter,47,bread,naan,North Indian,True,False,[],False,False,22.1,29,0.21,"{""breakfast"": 0.29, ""lunch"": 0.53, ""dinner"": 1.0, ""late_night"": 0.59}"
I00094,R0005,Stuffed Kulcha,Naan stuffed with paneer or onion,88,bread,naan,North Indian,True,False,[],True,True,40.8,13,0.84,"{""breakfast"": 0.08, ""lunch"": 0.57, ""dinner"": 0.98, ""late_night"": 0.27}"
I00095,R0005,Tandoori Roti,Whole wheat bread from tandoor,35,bread,roti,North Indian,True,False,[],False,True,39.2,25,0.84,"{""breakfast"": 0.35, ""lunch"": 0.67, ""dinner"": 0.47, ""late_night"": 0.16}"
I00096,R0005,Butter Roti,Soft roti brushed with butter,36,bread,roti,North Indian,True,False,[],False,True,26.0,33,0.27,"{""breakfast"": 0.25, ""lunch"": 0.6, ""dinner"": 0.7, ""late_night"": 0.47}"
I00097,R0005,Aloo Paratha,Stuffed potato flatbread,83,bread,paratha,North Indian,True,False,[],False,True,27.8,25,0.2,"{""breakfast"": 0.13, ""lunch"": 0.3, ""dinner"": 0.78, ""late_night"": 0.18}"
I00098,R0005,Missi Roti,Gram flour spiced flatbread,52,bread,roti,North Indian,True,False,[],False,True,31.6,15,0.42,"{""breakfast"": 0.03, ""lunch"": 0.83, ""dinner"": 0.59, ""late_night"": 0.48}"
I00099,R0005,Laccha Paratha,Layered flaky flatbread,76,bread,paratha,North Indian,True,False,[],False,True,45.3,15,0.69,"{""breakfast"": 0.35, ""lunch"": 0.3, ""dinner"": 0.42, ""late_night"": 0.29}"
I00100,R0005,Veg Pulao,Rice with mixed vegetables,164,rice,rice,North Indian,True,False,[],False,True,20.7,17,0.53,"{""breakfast"": 0.01, ""lunch"": 0.6, ""dinner"": 0.32, ""late_night"": 0.58}"
I00101,R0005,Steamed Rice,Plain steamed basmati rice,105,rice,rice,North Indian,True,False,[],False,True,43.1,27,0.66,"{""breakfast"": 0.22, ""lunch"": 0.74, ""dinner"": 0.67, ""late_night"": 0.42}"
I00102,R0005,Roasted Papad,Crispy roasted lentil wafer,28,side,accompaniment,North Indian,True,False,[],True,True,9.5,24,0.3,"{""breakfast"": 0.29, ""lunch"": 0.72, ""dinner"": 0.35, ""late_night"": 0.54}"
I00103,R0005,Onion Rings,Sliced onions with lemon,46,side,accompaniment,North Indian,True,False,[],False,False,17.0,9,0.58,"{""breakfast"": 0.34, ""lunch"": 0.5, ""dinner"": 0.6, ""late_night"": 0.23}"
I00104,R0005,Mixed Pickle,Spiced mango and lime pickle,36,side,accompaniment,North Indian,True,False,[],False,True,62.9,26,0.54,"{""breakfast"": 0.3, ""lunch"": 0.67, ""dinner"": 0.32, ""late_night"": 0.53}"
I00105,R0005,Water Bottle 1L,Packaged drinking water,29,beverage,water,North Indian,True,False,[],False,True,18.2,19,0.25,"{""breakfast"": 0.38, ""lunch"": 0.61, ""dinner"": 0.85, ""late_night"": 0.42}"
I00106,R0005,Coca Cola 300ml,Chilled cola,53,beverage,soft_drink,North Indian,True,False,[],False,True,29.6,15,0.34,"{""breakfast"": 0.11, ""lunch"": 0.63, ""dinner"": 0.99, ""late_night"": 0.23}"
I00107,R0005,Mango Lassi,Creamy mango yogurt shake,95,beverage,lassi,North Indian,True,False,[],False,True,36.6,16,0.52,"{""breakfast"": 0.18, ""lunch"": 0.63, ""dinner"": 0.74, ""late_night"": 0.33}"
I00108,R0005,Kheer,Creamy rice pudding with nuts,87,dessert,indian_sweet,North Indian,True,False,[],True,True,49.4,38,0.85,"{""breakfast"": 0.34, ""lunch"": 0.5, ""dinner"": 0.62, ""late_night"": 0.32}"
I00109,R0005,Gulab Jamun (2 Pcs),Milk balls in sugar syrup,67,dessert,indian_sweet,North Indian,True,False,[],False,True,27.4,19,0.36,"{""breakfast"": 0.33, ""lunch"": 0.67, ""dinner"": 0.92, ""late_night"": 0.39}"
I00110,R0005,Gajar Ka Halwa,Warm carrot pudding with ghee,80,dessert,indian_sweet,North Indian,True,False,[],False,True,30.6,20,0.25,"{""breakfast"": 0.16, ""lunch"": 0.81, ""dinner"": 0.92, ""late_night"": 0.44}"
I00111,R0005,Seekh Kebab (4 Pcs),Minced mutton skewers,266,appetizer,kebab,North Indian,False,False,[],False,False,50.8,12,0.88,"{""breakfast"": 0.0, ""lunch"": 0.8, ""dinner"": 0.88, ""late_night"": 0.12}"
I00112,R0005,Tandoori Chicken Half,Half chicken roasted in tandoor,324,appetizer,tandoori,North Indian,False,False,[],False,True,47.3,10,0.18,"{""breakfast"": 0.24, ""lunch"": 0.68, ""dinner"": 0.93, ""late_night"": 0.3}"
I00113,R0005,Hara Bhara Kebab (4 Pcs),Spinach and pea patties,184,appetizer,kebab,North Indian,True,False,[],False,True,27.1,32,0.9,"{""breakfast"": 0.24, ""lunch"": 0.65, ""dinner"": 0.4, ""late_night"": 0.16}"
I00114,R0005,Butter Chicken Meal,"Butter chicken, 2 naan, jeera rice, raita",416,combo,meal_combo,North Indian,False,True,"[""curry"", ""naan"", ""naan"", ""rice"", ""accompaniment""]",True,True,25.8,22,0.58,"{""breakfast"": 0.06, ""lunch"": 0.31, ""dinner"": 0.6, ""late_night"": 0.25}"
